"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","POST /users - создание пользователя","tests","2026-03-23","passed","2026-03-23","TestUsersAPI","test_users","",""
"","433","GET /posts - получение всех постов","tests","2026-03-23","passed","2026-03-23","TestPostsAPI","test_posts","",""
"","865","GET /users/:id - пользователь не найден (404)","tests","2026-03-23","passed","2026-03-23","TestUsersAPI","test_users","",""
"","457","GET /comments/:id - комментарий не найден (404)","tests","2026-03-23","passed","2026-03-23","TestCommentsAPI","test_comments","",""
"","1131","PATCH /users/:id - обновление пользователя","tests","2026-03-23","passed","2026-03-23","TestUsersAPI","test_users","",""
"","447","GET /todos/:id - задача не найдена (404)","tests","2026-03-23","passed","2026-03-23","TestTodosAPI","test_todos","",""
"","452","GET /todos/:id - получение задачи по ID","tests","2026-03-23","passed","2026-03-23","TestTodosAPI","test_todos","",""
"","1567","DELETE /posts/:id - удаление поста","tests","2026-03-23","passed","2026-03-23","TestPostsAPI","test_posts","",""
"","1102","PATCH /posts/:id - обновление поста","tests","2026-03-23","passed","2026-03-23","TestPostsAPI","test_posts","",""
"","577","POST /todos - создание задачи","tests","2026-03-23","passed","2026-03-23","TestTodosAPI","test_todos","",""
"","1999","DELETE /todos/:id - удаление задачи","tests","2026-03-23","passed","2026-03-23","TestTodosAPI","test_todos","",""
"","451","GET /posts/:id - получение поста по ID","tests","2026-03-23","passed","2026-03-23","TestPostsAPI","test_posts","",""
"","456","GET /users - получение всех пользователей","tests","2026-03-23","passed","2026-03-23","TestUsersAPI","test_users","",""
"","501","GET /comments/:id - получение комментария по ID","tests","2026-03-23","passed","2026-03-23","TestCommentsAPI","test_comments","",""
"","1186","PATCH /todos/:id - обновление статуса задачи","tests","2026-03-23","passed","2026-03-23","TestTodosAPI","test_todos","",""
"","460","GET /users/:id - получение пользователя по ID","tests","2026-03-23","passed","2026-03-23","TestUsersAPI","test_users","",""
"","802","POST /comments - создание комментария","tests","2026-03-23","passed","2026-03-23","TestCommentsAPI","test_comments","",""
"","607","POST /posts - создание поста","tests","2026-03-23","passed","2026-03-23","TestPostsAPI","test_posts","",""
"","1538","DELETE /comments/:id - удаление комментария","tests","2026-03-23","passed","2026-03-23","TestCommentsAPI","test_comments","",""
"","432","GET /todos - получение всех задач","tests","2026-03-23","passed","2026-03-23","TestTodosAPI","test_todos","",""
"","972","GET /comments - получение списка комментариев","tests","2026-03-23","passed","2026-03-23","TestCommentsAPI","test_comments","",""
"","1553","DELETE /users/:id - удаление пользователя","tests","2026-03-23","passed","2026-03-23","TestUsersAPI","test_users","",""
"","455","GET /posts/:id - пост не найден (404)","tests","2026-03-23","passed","2026-03-23","TestPostsAPI","test_posts","",""
